id_registro,fecha,tipo_producto,cantidad_producida,cantidad_desperdiciada,tiempo_produccion,id_sector,eficiencia
PR001,2025-08-17,Tipo_A,97,9,4.59,1,90.72
PR002,2025-08-23,Tipo_B,122,16,4.25,3,86.89
PR003,2025-08-07,Tipo_C,125,10,2.0,1,92.0
PR004,2025-08-23,Tipo_A,117,8,4.17,2,93.16
PR005,2025-08-15,Tipo_A,142,19,4.79,2,86.62
PR006,2025-08-10,Tipo_A,86,8,4.77,1,90.7
PR007,2025-08-11,Tipo_C,89,10,3.68,1,88.76
PR008,2025-08-12,Tipo_A,81,15,2.09,2,81.48
PR009,2025-08-06,Tipo_B,145,6,4.04,1,95.86
PR010,2025-08-18,Tipo_B,89,6,4.97,1,93.26
PR011,2025-08-19,Tipo_C,121,10,3.25,3,91.74
PR012,2025-08-14,Tipo_C,131,13,3.45,1,90.08
PR013,2025-08-16,Tipo_C,108,8,2.64,3,92.59
PR014,2025-08-01,Tipo_C,83,20,4.92,1,75.9
PR015,2025-08-08,Tipo_C,95,19,3.87,2,80.0
PR016,2025-08-03,Tipo_B,142,20,4.59,3,85.92
PR017,2025-08-12,Tipo_C,133,13,3.79,3,90.23
PR018,2025-08-16,Tipo_C,104,20,4.9,1,80.77
PR019,2025-08-14,Tipo_C,149,11,4.74,1,92.62
PR020,2025-08-22,Tipo_A,108,16,3.6,1,85.19
PR021,2025-08-18,Tipo_C,120,7,3.44,1,94.17
PR022,2025-08-16,Tipo_C,94,11,4.26,2,88.3
PR023,2025-08-20,Tipo_C,109,16,3.07,3,85.32
PR024,2025-08-24,Tipo_B,121,18,2.07,1,85.12
PR025,2025-08-02,Tipo_C,95,16,2.74,2,83.16
PR026,2025-08-23,Tipo_A,119,8,4.28,3,93.28
PR027,2025-08-09,Tipo_C,98,18,4.78,1,81.63
PR028,2025-08-22,Tipo_B,149,11,3.58,2,92.62
PR029,2025-08-03,Tipo_B,134,6,3.83,1,95.52
PR030,2025-08-07,Tipo_C,87,7,2.48,2,91.95
